Timestamp,Gender,Age_Group,Education_Level,Employment_Status,Ward,MP_Performance_Rating,MP_Represents_Interests_Effectively,MP_Should_Be_Reelected,Supported_Political_Party,Trusted_Political_Leader,Preferred_Candidate_If_Election_Today,President_Ruto_Performance_Rating,Country_Heading_Right_Direction,Top_Voting_Issues,Important_MP_Qualities
2025-10-12T11:59:00,Female,35-44,Primary,Unemployed,Kahuguini,Poor,Undecided,Yes,Jubilee,Kalonzo Musyoka,Njinji Murigi,Fair,Unsure,"Agriculture/Farming, Jobs & Youth Empowerment, Security",Development Record
2025-10-13T05:41:00,Male,18-24,College,Employed,Ndarugu,Very Poor,Yes,Yes,Jubilee,Kalonzo Musyoka,Undecided,Good,Unsure,"Education, Roads & Infrastructure, Agriculture/Farming, Water","Party Affiliation, Accessibility, Honesty"
2025-10-13T23:12:00,Male,45-54,Primary,Employed,Ndarugu,Excellent,No,No,Jubilee,Kalonzo Musyoka,Undecided,Very Poor,No,"Security, Agriculture/Farming, Roads & Infrastructure",Development Record
2025-10-13T09:45:00,Female,18-24,Primary,Unemployed,Ndarugu,Poor,Yes,Undecided,UDA,Rigathi Gachagua,Kungu Kibathi,Poor,Yes,"Water, Healthcare, Security, Jobs & Youth Empowerment",Honesty
2025-10-13T05:28:00,Female,35-44,Primary,Self-Employed,Ngenda,Good,Yes,Undecided,Jubilee,Fred Matiangi,Moses Kuria,Good,Unsure,"Security, Jobs & Youth Empowerment, Healthcare",Accessibility
2025-10-13T16:39:00,Female,25-34,Primary,Unemployed,Ndarugu,Good,Yes,No,Chama Cha Kazi,Rigathi Gachagua,Undecided,Fair,Unsure,"Water, Security, Jobs & Youth Empowerment, Healthcare",Accessibility
2025-10-13T04:49:00,Female,18-24,Primary,Unemployed,Ndarugu,Poor,Undecided,Yes,Jubilee,Rigathi Gachagua,Undecided,Good,No,"Agriculture/Farming, Healthcare, Water","Education Level, Honesty, Accessibility"
2025-10-13T12:01:00,Male,25-34,Primary,Employed,Gathugu,Fair,Yes,Undecided,Democratic Congress Party,William Ruto,Undecided,Very Poor,Unsure,"Roads & Infrastructure, Agriculture/Farming","Accessibility, Party Affiliation"
2025-10-13T07:28:00,Female,18-24,Secondary,Student,Ndarugu,Fair,Yes,No,Jubilee,Rigathi Gachagua,Moses Kuria,Fair,No,"Water, Agriculture/Farming, Roads & Infrastructure, Jobs & Youth Empowerment","Development Record, Education Level, Honesty"
2025-10-13T07:37:00,Male,35-44,Postgraduate,Employed,Kiganjo,Poor,No,Yes,UDA,Undecided/None,Kungu Kibathi,Good,No,"Healthcare, Security","Honesty, Party Affiliation, Education Level"
2025-10-13T03:24:00,Male,45-54,University,Self-Employed,Kahuguini,Excellent,No,No,UDA,Rigathi Gachagua,Undecided,Fair,Unsure,"Roads & Infrastructure, Security, Education","Honesty, Development Record"
2025-10-14T12:00:00,Male,18-24,Primary,Unemployed,Gathugu,Poor,No,No,Jubilee,Rigathi Gachagua,Kungu Kibathi,Excellent,Unsure,"Security, Roads & Infrastructure, Healthcare, Education","Party Affiliation, Accessibility, Development Record"
2025-10-14T18:49:00,Female,25-34,College,Employed,Kahuguini,Good,Yes,Undecided,Democratic Congress Party,Kalonzo Musyoka,Moses Kuria,Good,Unsure,"Agriculture/Farming, Roads & Infrastructure, Jobs & Youth Empowerment","Honesty, Accessibility"
2025-10-14T02:09:00,Female,45-54,University,Unemployed,Gathugu,Good,No,No,UDA,Rigathi Gachagua,Undecided,Good,Yes,"Security, Healthcare",Party Affiliation
2025-10-14T02:08:00,Female,25-34,University,Student,Kahuguini,Fair,Yes,Undecided,Jubilee,Rigathi Gachagua,Kungu Kibathi,Fair,Unsure,"Water, Security, Education, Agriculture/Farming",Education Level
2025-10-14T00:09:00,Female,18-24,Primary,Employed,Gathugu,Very Poor,Yes,Yes,Jubilee,Kalonzo Musyoka,Undecided,Excellent,Yes,"Agriculture/Farming, Water, Healthcare, Education",Party Affiliation
2025-10-14T20:28:00,Female,25-34,College,Unemployed,Ndarugu,Excellent,No,Yes,Jubilee,Rigathi Gachagua,Kungu Kibathi,Poor,Unsure,"Water, Jobs & Youth Empowerment, Education","Education Level, Honesty, Accessibility"
2025-10-14T03:20:00,Female,55+,College,Employed,Kahuguini,Good,Undecided,Undecided,Chama Cha Kazi,Undecided/None,Kungu Kibathi,Excellent,Unsure,"Jobs & Youth Empowerment, Education",Party Affiliation
2025-10-14T16:55:00,Male,45-54,Postgraduate,Unemployed,Ngenda,Excellent,Yes,No,Undecided/None,Undecided/None,Undecided,Excellent,No,"Roads & Infrastructure, Jobs & Youth Empowerment, Healthcare, Education",Education Level
2025-10-14T04:28:00,Female,45-54,Postgraduate,Employed,Gathugu,Very Poor,No,No,Chama Cha Kazi,Kalonzo Musyoka,Moses Kuria,Fair,Unsure,"Education, Agriculture/Farming","Education Level, Party Affiliation"
2025-10-14T20:34:00,Female,45-54,Postgraduate,Employed,Kiganjo,Poor,Undecided,No,UDA,Fred Matiangi,Undecided,Fair,Yes,"Roads & Infrastructure, Security","Accessibility, Education Level"
2025-10-15T20:40:00,Male,25-34,Primary,Self-Employed,Ngenda,Very Poor,No,No,Jubilee,Rigathi Gachagua,Moses Kuria,Good,Unsure,"Agriculture/Farming, Roads & Infrastructure, Jobs & Youth Empowerment","Development Record, Party Affiliation"
2025-10-15T21:24:00,Male,55+,College,Employed,Ngenda,Good,No,Yes,Chama Cha Kazi,Undecided/None,Undecided,Poor,Yes,"Healthcare, Education, Security, Water","Honesty, Education Level, Accessibility"
2025-10-15T20:33:00,Female,35-44,Secondary,Self-Employed,Ngenda,Good,Yes,Yes,Democratic Congress Party,Undecided/None,Njinji Murigi,Poor,Unsure,"Education, Water","Accessibility, Development Record, Education Level"
2025-10-15T03:05:00,Male,35-44,College,Self-Employed,Ngenda,Poor,Undecided,Undecided,UDA,Rigathi Gachagua,Moses Kuria,Good,Yes,"Jobs & Youth Empowerment, Agriculture/Farming, Education, Water","Party Affiliation, Education Level, Accessibility"
2025-10-15T22:35:00,Female,55+,College,Employed,Ndarugu,Fair,Undecided,Yes,Chama Cha Kazi,William Ruto,Moses Kuria,Good,Unsure,"Healthcare, Security, Agriculture/Farming, Water","Honesty, Accessibility, Development Record"
2025-10-15T15:54:00,Male,35-44,Postgraduate,Employed,Ndarugu,Very Poor,Undecided,Undecided,Undecided/None,Kalonzo Musyoka,Undecided,Very Poor,Unsure,"Healthcare, Agriculture/Farming, Water, Jobs & Youth Empowerment","Honesty, Accessibility"
2025-10-15T10:28:00,Female,55+,Primary,Self-Employed,Ndarugu,Good,Yes,No,UDA,Undecided/None,Njinji Murigi,Poor,Unsure,"Roads & Infrastructure, Security, Jobs & Youth Empowerment, Agriculture/Farming",Education Level
2025-10-15T03:18:00,Female,18-24,Postgraduate,Self-Employed,Kiganjo,Fair,Undecided,Yes,UDA,Fred Matiangi,Undecided,Poor,No,"Agriculture/Farming, Jobs & Youth Empowerment, Roads & Infrastructure","Education Level, Party Affiliation, Honesty"
2025-10-15T16:13:00,Male,55+,Secondary,Unemployed,Ndarugu,Fair,Undecided,Yes,Jubilee,William Ruto,Moses Kuria,Good,No,"Roads & Infrastructure, Water, Security, Jobs & Youth Empowerment","Accessibility, Honesty, Party Affiliation"
2025-10-15T10:47:00,Female,45-54,Secondary,Employed,Kahuguini,Excellent,No,Yes,Democratic Congress Party,Rigathi Gachagua,Kungu Kibathi,Good,Unsure,"Agriculture/Farming, Jobs & Youth Empowerment, Water","Education Level, Honesty, Development Record"
2025-10-16T00:16:00,Female,25-34,College,Self-Employed,Ndarugu,Very Poor,Yes,Yes,Undecided/None,Undecided/None,Kungu Kibathi,Very Poor,Yes,"Water, Roads & Infrastructure, Healthcare, Jobs & Youth Empowerment","Accessibility, Development Record"
2025-10-16T16:37:00,Female,45-54,University,Employed,Gathugu,Very Poor,Undecided,Undecided,Undecided/None,Rigathi Gachagua,Undecided,Excellent,No,"Water, Roads & Infrastructure, Security, Education",Party Affiliation
2025-10-16T18:34:00,Male,35-44,Primary,Employed,Kiganjo,Excellent,No,Undecided,Undecided/None,William Ruto,Undecided,Excellent,Yes,"Water, Jobs & Youth Empowerment",Development Record
2025-10-16T19:37:00,Male,18-24,University,Unemployed,Kiganjo,Fair,Undecided,Yes,Jubilee,Rigathi Gachagua,Moses Kuria,Poor,Yes,"Education, Water, Healthcare, Agriculture/Farming","Accessibility, Education Level"
2025-10-16T01:01:00,Male,25-34,Secondary,Student,Kiganjo,Good,Undecided,Yes,Democratic Congress Party,Undecided/None,Undecided,Good,No,"Water, Agriculture/Farming, Security",Honesty
2025-10-16T13:52:00,Male,55+,Secondary,Self-Employed,Ngenda,Excellent,No,No,Jubilee,Undecided/None,Undecided,Very Poor,No,"Water, Roads & Infrastructure, Jobs & Youth Empowerment, Healthcare","Education Level, Party Affiliation"
2025-10-16T14:13:00,Male,45-54,Postgraduate,Self-Employed,Ngenda,Poor,Yes,Undecided,Chama Cha Kazi,Undecided/None,Moses Kuria,Excellent,Yes,"Security, Agriculture/Farming, Roads & Infrastructure, Jobs & Youth Empowerment","Party Affiliation, Accessibility, Development Record"
2025-10-16T09:31:00,Male,35-44,University,Unemployed,Ngenda,Poor,Yes,No,Undecided/None,Undecided/None,Undecided,Excellent,No,"Education, Roads & Infrastructure","Development Record, Honesty"
2025-10-16T11:07:00,Male,18-24,Primary,Student,Kiganjo,Excellent,Yes,Yes,Undecided/None,Fred Matiangi,Kungu Kibathi,Good,Yes,"Jobs & Youth Empowerment, Water, Education","Education Level, Party Affiliation, Accessibility"
2025-10-16T13:20:00,Male,45-54,University,Self-Employed,Kahuguini,Fair,Yes,Yes,Undecided/None,Undecided/None,Moses Kuria,Excellent,No,"Roads & Infrastructure, Agriculture/Farming",Education Level
2025-10-17T14:10:00,Male,18-24,College,Employed,Gathugu,Very Poor,Undecided,Yes,UDA,Kalonzo Musyoka,Undecided,Fair,No,"Jobs & Youth Empowerment, Security, Agriculture/Farming, Water",Accessibility
2025-10-17T15:47:00,Male,45-54,Postgraduate,Employed,Kahuguini,Excellent,Undecided,Yes,Jubilee,Rigathi Gachagua,Moses Kuria,Fair,Yes,"Water, Education","Honesty, Party Affiliation, Development Record"
2025-10-17T18:10:00,Female,45-54,University,Self-Employed,Ngenda,Fair,Yes,Undecided,Undecided/None,Kalonzo Musyoka,Undecided,Poor,No,"Jobs & Youth Empowerment, Water","Honesty, Party Affiliation"
2025-10-17T13:44:00,Female,25-34,Postgraduate,Unemployed,Kahuguini,Very Poor,Yes,Yes,Jubilee,Fred Matiangi,Moses Kuria,Fair,Yes,"Roads & Infrastructure, Water, Agriculture/Farming, Healthcare","Education Level, Honesty, Development Record"
2025-10-17T02:34:00,Female,18-24,Postgraduate,Student,Ndarugu,Fair,No,Yes,Chama Cha Kazi,Rigathi Gachagua,Kungu Kibathi,Fair,Unsure,"Jobs & Youth Empowerment, Water, Roads & Infrastructure",Party Affiliation
2025-10-17T03:40:00,Male,45-54,Postgraduate,Unemployed,Ngenda,Excellent,Undecided,No,Jubilee,Kalonzo Musyoka,Njinji Murigi,Fair,No,"Roads & Infrastructure, Education",Honesty
2025-10-17T18:57:00,Male,45-54,Primary,Unemployed,Kahuguini,Fair,No,No,Jubilee,Undecided/None,Njinji Murigi,Fair,Yes,"Healthcare, Jobs & Youth Empowerment",Education Level
2025-10-17T16:27:00,Male,55+,Primary,Unemployed,Gathugu,Good,Undecided,Undecided,UDA,Undecided/None,Kungu Kibathi,Poor,No,"Education, Agriculture/Farming",Development Record
2025-10-17T20:09:00,Female,55+,Secondary,Employed,Ngenda,Good,Yes,Yes,Jubilee,Undecided/None,Kungu Kibathi,Poor,Unsure,"Roads & Infrastructure, Education","Party Affiliation, Honesty"
2025-10-17T09:39:00,Female,55+,College,Employed,Gathugu,Very Poor,Yes,No,Chama Cha Kazi,Kalonzo Musyoka,Kungu Kibathi,Good,No,"Roads & Infrastructure, Education, Security, Agriculture/Farming","Honesty, Party Affiliation, Education Level"
2025-10-18T00:53:00,Female,55+,Primary,Unemployed,Gathugu,Good,No,Undecided,Undecided/None,Undecided/None,Undecided,Fair,No,"Roads & Infrastructure, Healthcare, Security, Jobs & Youth Empowerment","Education Level, Party Affiliation, Honesty"
2025-10-18T13:35:00,Female,18-24,University,Self-Employed,Ngenda,Good,Undecided,No,Democratic Congress Party,Undecided/None,Njinji Murigi,Poor,Unsure,"Water, Education, Jobs & Youth Empowerment",Party Affiliation
2025-10-18T03:13:00,Male,25-34,University,Employed,Gathugu,Good,No,No,Undecided/None,Fred Matiangi,Kungu Kibathi,Good,No,"Agriculture/Farming, Education","Education Level, Party Affiliation"
2025-10-18T16:39:00,Male,18-24,Primary,Unemployed,Kiganjo,Good,Undecided,Undecided,Democratic Congress Party,Fred Matiangi,Njinji Murigi,Poor,Unsure,"Security, Roads & Infrastructure, Water","Honesty, Accessibility"
2025-10-18T20:51:00,Male,45-54,University,Unemployed,Kiganjo,Fair,Undecided,Undecided,Jubilee,William Ruto,Njinji Murigi,Very Poor,Yes,"Security, Agriculture/Farming, Jobs & Youth Empowerment","Honesty, Education Level"
2025-10-18T06:02:00,Female,35-44,Postgraduate,Student,Kahuguini,Excellent,Yes,Undecided,Jubilee,Kalonzo Musyoka,Moses Kuria,Good,Yes,"Water, Education","Party Affiliation, Development Record, Education Level"
2025-10-18T19:52:00,Female,45-54,Postgraduate,Student,Ndarugu,Good,No,Undecided,UDA,William Ruto,Njinji Murigi,Excellent,No,"Jobs & Youth Empowerment, Agriculture/Farming, Healthcare, Education","Honesty, Accessibility, Development Record"
2025-10-18T09:13:00,Female,35-44,Primary,Unemployed,Kahuguini,Good,No,Yes,Chama Cha Kazi,Undecided/None,Njinji Murigi,Poor,No,"Agriculture/Farming, Healthcare, Jobs & Youth Empowerment, Security","Education Level, Accessibility"
2025-10-18T04:21:00,Female,45-54,Secondary,Employed,Kiganjo,Excellent,Yes,Yes,Chama Cha Kazi,Fred Matiangi,Moses Kuria,Poor,Unsure,"Healthcare, Education, Roads & Infrastructure, Jobs & Youth Empowerment","Accessibility, Education Level, Party Affiliation"
2025-10-18T15:28:00,Male,25-34,Postgraduate,Self-Employed,Kahuguini,Excellent,No,No,Democratic Congress Party,Undecided/None,Njinji Murigi,Excellent,Yes,"Agriculture/Farming, Water, Education, Jobs & Youth Empowerment",Honesty
2025-10-19T10:52:00,Male,18-24,University,Unemployed,Ngenda,Excellent,Yes,Yes,Chama Cha Kazi,Kalonzo Musyoka,Kungu Kibathi,Fair,Unsure,"Education, Agriculture/Farming, Roads & Infrastructure, Healthcare","Party Affiliation, Development Record, Accessibility"
2025-10-19T04:20:00,Male,55+,College,Student,Kahuguini,Excellent,Yes,No,Undecided/None,Fred Matiangi,Kungu Kibathi,Very Poor,Yes,"Water, Roads & Infrastructure, Security, Agriculture/Farming","Honesty, Development Record, Party Affiliation"
2025-10-19T07:55:00,Male,55+,University,Unemployed,Ndarugu,Poor,No,Yes,Democratic Congress Party,William Ruto,Kungu Kibathi,Fair,Unsure,"Jobs & Youth Empowerment, Healthcare",Education Level
2025-10-19T05:27:00,Male,18-24,Primary,Student,Gathugu,Excellent,Undecided,No,Undecided/None,Fred Matiangi,Kungu Kibathi,Poor,Unsure,"Agriculture/Farming, Roads & Infrastructure, Healthcare, Water","Honesty, Development Record, Education Level"
2025-10-19T23:44:00,Male,35-44,Secondary,Employed,Ndarugu,Good,No,Undecided,Jubilee,Undecided/None,Moses Kuria,Fair,Unsure,"Roads & Infrastructure, Education, Agriculture/Farming",Party Affiliation
2025-10-19T02:03:00,Female,35-44,Primary,Self-Employed,Kahuguini,Good,Undecided,Undecided,Democratic Congress Party,William Ruto,Moses Kuria,Very Poor,Yes,"Security, Education, Roads & Infrastructure, Jobs & Youth Empowerment","Development Record, Honesty, Accessibility"
2025-10-19T11:21:00,Female,45-54,Postgraduate,Self-Employed,Kiganjo,Excellent,No,Undecided,Chama Cha Kazi,Kalonzo Musyoka,Undecided,Fair,No,"Security, Jobs & Youth Empowerment, Roads & Infrastructure, Education","Honesty, Accessibility"
2025-10-19T11:53:00,Male,18-24,College,Employed,Gathugu,Fair,Yes,No,Chama Cha Kazi,Fred Matiangi,Undecided,Fair,Unsure,"Jobs & Youth Empowerment, Healthcare",Development Record
2025-10-19T01:30:00,Female,35-44,Secondary,Self-Employed,Ndarugu,Good,Yes,Yes,Undecided/None,Fred Matiangi,Undecided,Very Poor,Yes,"Water, Roads & Infrastructure","Party Affiliation, Honesty"
2025-10-19T03:36:00,Female,45-54,Primary,Employed,Ndarugu,Poor,Undecided,Yes,Chama Cha Kazi,Rigathi Gachagua,Njinji Murigi,Good,Unsure,"Jobs & Youth Empowerment, Education",Development Record
2025-10-20T08:19:00,Female,45-54,Postgraduate,Unemployed,Kiganjo,Good,Yes,Undecided,UDA,Kalonzo Musyoka,Njinji Murigi,Fair,Unsure,"Education, Water, Roads & Infrastructure","Party Affiliation, Honesty, Development Record"
2025-10-20T05:26:00,Male,18-24,Postgraduate,Student,Ngenda,Excellent,No,Undecided,Jubilee,Undecided/None,Kungu Kibathi,Very Poor,Yes,"Roads & Infrastructure, Agriculture/Farming, Security","Education Level, Party Affiliation"
2025-10-20T21:31:00,Female,25-34,Primary,Student,Ngenda,Very Poor,No,No,Chama Cha Kazi,Undecided/None,Kungu Kibathi,Excellent,Yes,"Roads & Infrastructure, Security, Education, Water","Party Affiliation, Honesty"
2025-10-20T19:59:00,Female,55+,Primary,Student,Gathugu,Good,Yes,No,Undecided/None,Undecided/None,Undecided,Poor,Unsure,"Healthcare, Water","Education Level, Development Record"
2025-10-20T08:50:00,Female,18-24,University,Unemployed,Gathugu,Poor,Yes,Yes,Chama Cha Kazi,William Ruto,Moses Kuria,Fair,Unsure,"Water, Roads & Infrastructure, Agriculture/Farming, Jobs & Youth Empowerment","Accessibility, Party Affiliation, Development Record"
2025-10-20T17:46:00,Male,35-44,Postgraduate,Student,Ndarugu,Very Poor,No,Undecided,Chama Cha Kazi,Rigathi Gachagua,Njinji Murigi,Good,No,"Healthcare, Jobs & Youth Empowerment, Education, Water","Party Affiliation, Education Level"
2025-10-20T22:31:00,Female,25-34,College,Unemployed,Ngenda,Excellent,Undecided,Undecided,Jubilee,William Ruto,Kungu Kibathi,Excellent,Yes,"Security, Water","Party Affiliation, Development Record, Education Level"
2025-10-20T00:47:00,Male,18-24,College,Employed,Kahuguini,Excellent,Yes,Yes,Chama Cha Kazi,Fred Matiangi,Kungu Kibathi,Excellent,No,"Agriculture/Farming, Security",Education Level
2025-10-20T05:24:00,Female,25-34,College,Unemployed,Gathugu,Poor,Yes,Yes,Undecided/None,Kalonzo Musyoka,Njinji Murigi,Poor,Yes,"Healthcare, Agriculture/Farming, Water, Education","Accessibility, Honesty, Education Level"
2025-10-20T18:25:00,Female,25-34,University,Self-Employed,Gathugu,Fair,Undecided,Undecided,Democratic Congress Party,William Ruto,Moses Kuria,Fair,No,"Jobs & Youth Empowerment, Agriculture/Farming, Healthcare, Water",Education Level
2025-10-21T21:25:00,Female,35-44,Primary,Student,Ngenda,Poor,Yes,Yes,Jubilee,Kalonzo Musyoka,Moses Kuria,Very Poor,Yes,"Agriculture/Farming, Security, Healthcare, Education","Party Affiliation, Accessibility"
2025-10-21T14:15:00,Male,25-34,Primary,Employed,Kahuguini,Very Poor,No,Yes,Jubilee,Kalonzo Musyoka,Moses Kuria,Poor,Yes,"Healthcare, Jobs & Youth Empowerment","Development Record, Party Affiliation, Honesty"
2025-10-21T15:44:00,Female,35-44,Primary,Unemployed,Kahuguini,Good,Undecided,Undecided,Jubilee,Fred Matiangi,Kungu Kibathi,Good,Yes,"Education, Jobs & Youth Empowerment, Roads & Infrastructure, Water","Education Level, Party Affiliation, Honesty"
2025-10-21T14:00:00,Female,18-24,Primary,Self-Employed,Kiganjo,Excellent,No,Undecided,Democratic Congress Party,Fred Matiangi,Njinji Murigi,Excellent,No,"Jobs & Youth Empowerment, Healthcare, Education, Agriculture/Farming","Development Record, Honesty"
2025-10-21T23:44:00,Male,45-54,Postgraduate,Student,Ngenda,Very Poor,Undecided,Yes,Chama Cha Kazi,Rigathi Gachagua,Undecided,Poor,Yes,"Agriculture/Farming, Water, Jobs & Youth Empowerment, Security","Development Record, Education Level, Honesty"
2025-10-21T20:26:00,Female,45-54,Primary,Student,Ndarugu,Very Poor,No,No,UDA,Undecided/None,Undecided,Excellent,Yes,"Education, Roads & Infrastructure, Agriculture/Farming","Honesty, Development Record"
2025-10-21T05:41:00,Female,18-24,Primary,Student,Kahuguini,Poor,Yes,Undecided,Chama Cha Kazi,Kalonzo Musyoka,Kungu Kibathi,Excellent,No,"Water, Agriculture/Farming, Security","Party Affiliation, Honesty"
2025-10-21T21:44:00,Female,35-44,Postgraduate,Student,Gathugu,Excellent,No,Yes,Jubilee,Kalonzo Musyoka,Moses Kuria,Poor,No,"Security, Roads & Infrastructure, Education","Party Affiliation, Development Record, Accessibility"
2025-10-21T12:04:00,Female,35-44,College,Self-Employed,Ngenda,Excellent,No,Yes,Chama Cha Kazi,Kalonzo Musyoka,Njinji Murigi,Good,Yes,"Roads & Infrastructure, Agriculture/Farming",Accessibility
2025-10-21T19:41:00,Male,35-44,College,Student,Ndarugu,Fair,No,Yes,Undecided/None,Rigathi Gachagua,Njinji Murigi,Excellent,No,"Roads & Infrastructure, Agriculture/Farming","Accessibility, Party Affiliation"
2025-10-22T22:52:00,Female,25-34,College,Unemployed,Kahuguini,Very Poor,Yes,Yes,Chama Cha Kazi,Undecided/None,Njinji Murigi,Good,Unsure,"Jobs & Youth Empowerment, Security, Agriculture/Farming, Education","Accessibility, Education Level, Party Affiliation"
2025-10-22T09:52:00,Male,35-44,Secondary,Unemployed,Kahuguini,Fair,No,No,Undecided/None,Rigathi Gachagua,Moses Kuria,Very Poor,Yes,"Healthcare, Water","Party Affiliation, Development Record"
2025-10-22T20:29:00,Female,18-24,University,Employed,Ngenda,Fair,Yes,No,Democratic Congress Party,Fred Matiangi,Moses Kuria,Excellent,Yes,"Jobs & Youth Empowerment, Agriculture/Farming, Healthcare, Water","Development Record, Party Affiliation"
2025-10-22T05:30:00,Female,18-24,Postgraduate,Student,Kiganjo,Poor,Yes,No,Undecided/None,Rigathi Gachagua,Njinji Murigi,Poor,Yes,"Water, Jobs & Youth Empowerment, Agriculture/Farming",Accessibility
2025-10-22T06:43:00,Female,18-24,College,Employed,Kiganjo,Good,Undecided,Undecided,Chama Cha Kazi,Undecided/None,Kungu Kibathi,Excellent,Unsure,"Security, Jobs & Youth Empowerment, Roads & Infrastructure",Education Level
2025-10-22T10:31:00,Female,25-34,College,Employed,Gathugu,Poor,Undecided,No,Undecided/None,Undecided/None,Njinji Murigi,Excellent,Yes,"Healthcare, Security, Education, Jobs & Youth Empowerment","Party Affiliation, Honesty, Education Level"
2025-10-22T18:51:00,Female,35-44,University,Self-Employed,Kiganjo,Fair,Undecided,Yes,Jubilee,Fred Matiangi,Undecided,Excellent,Yes,"Security, Healthcare, Agriculture/Farming, Jobs & Youth Empowerment","Accessibility, Development Record"
2025-10-22T02:29:00,Female,18-24,Postgraduate,Self-Employed,Gathugu,Very Poor,Undecided,Yes,Jubilee,Kalonzo Musyoka,Undecided,Good,Unsure,"Agriculture/Farming, Security, Water",Development Record
2025-10-22T01:57:00,Male,55+,College,Self-Employed,Gathugu,Fair,Undecided,Yes,Jubilee,Undecided/None,Undecided,Good,Unsure,"Water, Education, Healthcare, Jobs & Youth Empowerment","Honesty, Accessibility"
2025-10-22T11:12:00,Male,55+,Secondary,Self-Employed,Kahuguini,Excellent,Undecided,Yes,Chama Cha Kazi,Rigathi Gachagua,Kungu Kibathi,Poor,No,"Roads & Infrastructure, Water, Agriculture/Farming, Jobs & Youth Empowerment",Accessibility
2025-10-23T13:37:00,Male,45-54,Secondary,Unemployed,Ndarugu,Very Poor,Undecided,Undecided,Democratic Congress Party,Undecided/None,Kungu Kibathi,Good,No,"Security, Agriculture/Farming, Education",Accessibility
2025-10-23T15:54:00,Female,25-34,College,Unemployed,Ndarugu,Excellent,No,Yes,Jubilee,William Ruto,Undecided,Very Poor,Yes,"Roads & Infrastructure, Security","Development Record, Party Affiliation, Honesty"
2025-10-23T05:45:00,Female,55+,College,Unemployed,Kiganjo,Fair,No,No,Undecided/None,Fred Matiangi,Undecided,Very Poor,Unsure,"Education, Water, Security, Agriculture/Farming",Party Affiliation
2025-10-23T08:04:00,Female,18-24,Secondary,Student,Kahuguini,Poor,Yes,No,Chama Cha Kazi,Rigathi Gachagua,Kungu Kibathi,Poor,Unsure,"Healthcare, Roads & Infrastructure, Agriculture/Farming","Education Level, Party Affiliation, Honesty"
2025-10-23T03:23:00,Female,18-24,Postgraduate,Unemployed,Ndarugu,Excellent,Undecided,No,UDA,Undecided/None,Njinji Murigi,Good,Yes,"Agriculture/Farming, Healthcare","Development Record, Accessibility"
2025-10-23T15:01:00,Male,45-54,College,Self-Employed,Ndarugu,Good,Undecided,Undecided,Chama Cha Kazi,Rigathi Gachagua,Undecided,Poor,No,"Water, Security",Party Affiliation
2025-10-23T16:03:00,Female,35-44,Secondary,Self-Employed,Kahuguini,Very Poor,Yes,Undecided,Democratic Congress Party,Fred Matiangi,Kungu Kibathi,Excellent,Unsure,"Water, Jobs & Youth Empowerment, Agriculture/Farming","Party Affiliation, Development Record, Education Level"
2025-10-23T20:49:00,Male,45-54,Secondary,Employed,Gathugu,Fair,No,Yes,Democratic Congress Party,Undecided/None,Njinji Murigi,Excellent,No,"Education, Jobs & Youth Empowerment",Accessibility
2025-10-23T02:23:00,Female,25-34,College,Unemployed,Gathugu,Good,No,No,Democratic Congress Party,William Ruto,Kungu Kibathi,Fair,Unsure,"Education, Agriculture/Farming, Security, Roads & Infrastructure","Accessibility, Development Record"
2025-10-23T10:52:00,Female,25-34,University,Student,Ndarugu,Poor,Yes,No,Jubilee,Undecided/None,Kungu Kibathi,Very Poor,Unsure,"Jobs & Youth Empowerment, Security",Education Level
2025-10-24T08:14:00,Female,45-54,University,Self-Employed,Kiganjo,Excellent,No,No,UDA,Kalonzo Musyoka,Njinji Murigi,Very Poor,No,"Roads & Infrastructure, Education, Security, Agriculture/Farming","Accessibility, Development Record"
2025-10-24T19:23:00,Male,55+,University,Self-Employed,Ngenda,Fair,Yes,No,Undecided/None,William Ruto,Undecided,Good,Yes,"Agriculture/Farming, Roads & Infrastructure, Healthcare","Honesty, Education Level"
2025-10-24T20:27:00,Male,35-44,Postgraduate,Self-Employed,Gathugu,Poor,No,Yes,UDA,Fred Matiangi,Moses Kuria,Good,Yes,"Agriculture/Farming, Water, Healthcare, Education","Honesty, Accessibility"
2025-10-24T21:43:00,Male,45-54,College,Student,Ndarugu,Good,No,Undecided,Chama Cha Kazi,Kalonzo Musyoka,Undecided,Poor,Yes,"Agriculture/Farming, Jobs & Youth Empowerment, Roads & Infrastructure","Accessibility, Honesty"
2025-10-24T21:57:00,Female,55+,University,Unemployed,Ndarugu,Poor,Yes,Undecided,Democratic Congress Party,Fred Matiangi,Njinji Murigi,Poor,Yes,"Education, Water",Education Level
2025-10-24T10:42:00,Male,45-54,University,Student,Kahuguini,Very Poor,No,Undecided,Democratic Congress Party,William Ruto,Njinji Murigi,Poor,No,"Water, Security, Education, Jobs & Youth Empowerment",Honesty
2025-10-24T20:29:00,Male,25-34,University,Student,Kahuguini,Poor,Yes,Yes,Undecided/None,Kalonzo Musyoka,Moses Kuria,Excellent,Unsure,"Jobs & Youth Empowerment, Water","Education Level, Party Affiliation, Accessibility"
2025-10-24T15:51:00,Female,45-54,Secondary,Unemployed,Kiganjo,Good,Yes,Yes,Democratic Congress Party,Undecided/None,Njinji Murigi,Very Poor,No,"Education, Jobs & Youth Empowerment, Water",Development Record
